City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,76.55,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
1,Rikitea,PF,77.99,broken clouds,-23.1203,-134.9692,Chez Bianca & Benoit
2,Wiang Sa,TH,70.41,broken clouds,8.6359,99.3666,Tonnum Bungalow
3,Isangel,VU,79.12,heavy intensity rain,-19.55,169.2667,Tanna Lodge
4,Gizo,SB,83.86,light rain,-8.103,156.8419,Gizo Hotel
5,Valdivia,CL,84.29,broken clouds,-39.8142,-73.2459,Esmeralda
6,Mataram,ID,76.01,overcast clouds,-8.5833,116.1167,hotel solas
7,Atuona,PF,77.95,light rain,-9.8,-139.0333,Pearl Resort
8,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
9,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
10,Colon,PA,83.35,broken clouds,9.3592,-79.9014,Hotel Carlton
11,Palora,EC,73.51,moderate rain,-1.7,-77.9333,Hotel Sol De Oriente
12,Chuy,UY,71.17,broken clouds,-33.6971,-53.4616,Alerces
13,Lorengau,PG,82.83,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
14,Ko Samui,TH,78.71,few clouds,9.5357,99.9357,Nathon Residence
15,Caravelas,BR,75.63,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
16,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
17,Cockburn Town,TC,76.12,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
18,Puerto Madryn,AR,74.19,broken clouds,-42.7692,-65.0385,Hotel Gran Palace
19,Namatanai,PG,82.85,broken clouds,-3.6667,152.4333,Namatanai Hotel
20,Saint-Philippe,RE,76.12,moderate rain,-21.3585,55.7679,Le Baril
21,Monrovia,LR,74.97,overcast clouds,6.3005,-10.7969,Bella Casa Hotel
22,Dolores,AR,72.73,overcast clouds,-36.3132,-57.6792,Plaza Hotel
23,Meulaboh,ID,72.27,overcast clouds,4.1363,96.1285,Hotel Meuligou
24,Maragogi,BR,77.14,few clouds,-9.0122,-35.2225,Pousada Mariluz
25,Port Elizabeth,ZA,79.11,overcast clouds,-33.918,25.5701,Waterford Hotel
26,Vaini,TO,86.16,broken clouds,-21.2,-175.2,Keleti International Resort
27,Ngunguru,NZ,72.61,clear sky,-35.6167,174.5,Oceans Tutukaka
28,Santa Cruz,BO,87.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
29,Bundaberg,AU,82.22,few clouds,-24.85,152.35,Young Australian Hotel
30,Kralendijk,BQ,76.98,few clouds,12.15,-68.2667,Hotel Bonaire Inn
31,Durban,ZA,79.92,broken clouds,-29.8579,31.0292,Tudor
32,Tual,ID,83.3,overcast clouds,-5.6667,132.75,Suita
33,Bengkulu,ID,74.25,broken clouds,-3.8004,102.2655,Dena Hotel
34,Kapaa,US,80.92,few clouds,22.0752,-159.319,Pono Kai Resort
35,Huarmey,PE,72.5,broken clouds,-10.0681,-78.1522,Hostal Santa Rosa
36,Sambava,MG,76.55,moderate rain,-14.2667,50.1667,Royal Sava Hôtel
37,Ahipara,NZ,71.76,clear sky,-35.1667,173.1667,YHA Ahipara
38,Bredasdorp,ZA,70.09,scattered clouds,-34.5322,20.0403,Victoria Hotel
39,Aden,YE,75.36,overcast clouds,12.7794,45.0367,فندق قصر الجزيرة
40,Mount Isa,AU,85.77,clear sky,-20.7333,139.5,Ibis Styles
41,Souillac,MU,77.38,light rain,-20.5167,57.5167,Hotel SkylineInn
42,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Page 63 hostel
43,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Decameron Isleño
44,Rio Grande,BR,75.31,scattered clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
45,Sao Filipe,CV,75.02,clear sky,14.8961,-24.4956,Bela Vista
46,General Pico,AR,89.85,broken clouds,-35.6566,-63.7568,Euskadi Hotel
47,Parana,AR,86.56,overcast clouds,-31.732,-60.5238,Grand Hotel Alvear
48,Sur,OM,71.56,overcast clouds,22.5667,59.5289,Sur Hotel
49,Cayenne,GF,73.44,light rain,4.9333,-52.3333,Central Hôtel
50,Cartagena,CO,83.82,few clouds,10.3997,-75.5144,Hotel Bellamar
51,Bacalar,MX,80.71,few clouds,18.6667,-88.3833,El Paraíso
52,Pitimbu,BR,75.79,broken clouds,-7.4706,-34.8086,Pousada Brisa Mar
53,Quelimane,MZ,78.75,few clouds,-17.8786,36.8883,Mabassa
54,Mahebourg,MU,78.26,moderate rain,-20.4081,57.7,Grand Bel Air
55,Banda Aceh,ID,75.47,overcast clouds,5.5577,95.3222,Hotel 61
56,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
57,Puerto Leguizamo,CO,78.19,overcast clouds,-0.1934,-74.7819,Hotel Girasoles
58,Port Hedland,AU,77.05,light rain,-20.3167,118.5667,The Esplanade Hotel
59,Maraba,BR,73.58,thunderstorm with light rain,-5.3686,-49.1178,Portobelo
60,Olinda,BR,80.33,light rain,-8.0089,-34.8553,Fidji Motel
61,Nouakchott,MR,71.53,clear sky,18.0858,-15.9785,فندق أدرار
62,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Terra Sur
63,Barranca,PE,72.09,broken clouds,-10.75,-77.7667,Emperador
64,Gweta,BW,73.31,scattered clouds,-20.1833,25.2333,Gweta Lodge
65,Hambantota,LK,74.61,broken clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
66,Cabo San Lucas,MX,74.61,few clouds,22.8909,-109.9124,Comfort Rooms
67,Hithadhoo,MV,81.18,few clouds,-0.6,73.0833,Pebbles Inn
68,Faanui,PF,80.65,few clouds,-16.4833,-151.75,Oa Oa Lodge
69,Mar Del Plata,AR,73.42,light rain,-38.0023,-57.5575,Nuevo Ostende
70,Bowen,AU,78.26,scattered clouds,-20.0167,148.2333,Whitsunday Sands Resort
71,Port Shepstone,ZA,75.36,overcast clouds,-30.7414,30.455,The Spot Backpackers'
72,Alice Springs,AU,80.15,clear sky,-23.7,133.8833,Aurora Alice Springs
73,Pangkalanbuun,ID,72.95,overcast clouds,-2.6833,111.6167,Hotel Tiara
74,Intipuca,SV,80.76,clear sky,13.1969,-88.0544,Hotel Pacific Paradise
75,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
76,Celestun,MX,79.11,overcast clouds,20.8667,-90.4,Hotel Flamingo Playa
77,Chimoio,MZ,71.46,broken clouds,-19.1164,33.4833,Hotel Amirana
